Audiofile,start,end,class
test.wav,76.71,76.72,background
test.wav,76.72,76.89,foreground
test.wav,76.89,76.9,background
test.wav,76.9,77.0,foreground
test.wav,77.0,77.01,background
test.wav,77.01,77.03,foreground
test.wav,77.03,77.08,background
test.wav,77.08,77.13,foreground
test.wav,77.13,77.14,background
test.wav,77.14,77.53,foreground
test.wav,77.53,77.54,background
test.wav,77.54,77.85,foreground
test.wav,77.85,77.86,background
test.wav,77.86,78.05,foreground
test.wav,78.05,78.19,background
test.wav,78.19,78.2,foreground
test.wav,78.2,78.23,background
test.wav,78.23,78.24,foreground
test.wav,78.24,78.26,background
test.wav,78.26,78.28,foreground
test.wav,78.28,78.29,background
test.wav,78.29,79.41,foreground
test.wav,79.41,79.42,background
test.wav,79.42,79.44,foreground
test.wav,79.44,79.45,background
test.wav,79.45,79.47,foreground
test.wav,79.47,79.48,background
test.wav,79.48,79.53,foreground
test.wav,79.53,79.59,background
test.wav,79.59,79.61,foreground
test.wav,79.61,79.62,background
test.wav,79.62,79.63,foreground
test.wav,79.63,79.66,background
test.wav,79.66,79.68,foreground
test.wav,79.68,79.87,background
test.wav,79.87,79.88,foreground
test.wav,79.88,79.92,background
test.wav,79.92,79.95,foreground
test.wav,79.95,79.97,background
test.wav,79.97,79.98,foreground
test.wav,79.98,80.02,background
test.wav,80.02,80.03,foreground
test.wav,80.03,80.07,background
test.wav,80.07,80.08,foreground
test.wav,80.08,80.11,background
test.wav,80.11,80.16,foreground
test.wav,80.16,80.17,background
test.wav,80.17,80.18,foreground
test.wav,80.18,80.19,background
test.wav,80.19,82.49,foreground
test.wav,82.49,82.5,background
test.wav,82.5,83.75,foreground
test.wav,83.75,83.77,background
test.wav,83.77,83.87,foreground
test.wav,83.87,83.88,background
test.wav,83.88,83.89,foreground
test.wav,83.89,83.91,background
test.wav,83.91,83.94,foreground
test.wav,83.94,83.95,background
test.wav,83.95,83.98,foreground
test.wav,83.98,83.99,background
test.wav,83.99,84.16,foreground
test.wav,84.16,84.17,background
test.wav,84.17,84.19,foreground
test.wav,84.19,84.2,background
test.wav,84.2,84.22,foreground
test.wav,84.22,84.23,background
test.wav,84.23,84.24,foreground
test.wav,84.24,84.28,background
test.wav,84.28,84.51,foreground
test.wav,84.51,84.52,background
test.wav,84.52,84.53,foreground
test.wav,84.53,84.54,background
test.wav,84.54,84.56,foreground
test.wav,84.56,84.57,background
test.wav,84.57,84.6,foreground
test.wav,84.6,84.61,background
test.wav,84.61,84.62,foreground
test.wav,84.62,84.63,background
test.wav,84.63,84.65,foreground
test.wav,84.65,84.66,background
test.wav,84.66,84.67,foreground
test.wav,84.67,84.69,background
test.wav,84.69,84.7,foreground
test.wav,84.7,84.72,background
test.wav,84.72,84.94,foreground
test.wav,84.94,84.95,background
test.wav,84.95,84.97,foreground
test.wav,84.97,85.05,background
test.wav,85.05,85.06,foreground
test.wav,85.06,85.09,background
test.wav,85.09,85.1,foreground
test.wav,85.1,85.12,background
test.wav,85.12,85.13,foreground
test.wav,85.13,85.14,background
test.wav,85.14,85.25,foreground
test.wav,85.25,85.33,background
test.wav,85.33,85.35,foreground
test.wav,85.35,85.5,background
test.wav,85.5,85.57,foreground
test.wav,85.57,85.59,background
test.wav,85.59,85.66,foreground
test.wav,85.66,85.67,background
test.wav,85.67,85.74,foreground
test.wav,85.74,85.76,background
test.wav,85.76,85.78,foreground
test.wav,85.78,85.79,background
test.wav,85.79,85.82,foreground
test.wav,85.82,85.85,background
test.wav,85.85,85.87,foreground
test.wav,85.87,85.88,background
test.wav,85.88,85.89,foreground
test.wav,85.89,85.9,background
test.wav,85.9,86.2,foreground
test.wav,86.2,86.22,background
test.wav,86.22,86.45,foreground
test.wav,86.45,86.47,background
test.wav,86.47,86.49,foreground
test.wav,86.49,86.5,background
test.wav,86.5,86.52,foreground
test.wav,86.52,86.53,background
test.wav,86.53,86.54,foreground
test.wav,86.54,86.56,background
test.wav,86.56,86.57,foreground
test.wav,86.57,86.58,background
test.wav,86.58,86.64,foreground
test.wav,86.64,86.65,background
test.wav,86.65,86.73,foreground
test.wav,86.73,86.76,background
test.wav,86.76,86.78,foreground
test.wav,86.78,86.8,background
test.wav,86.8,86.81,foreground
test.wav,86.81,86.82,background
test.wav,86.82,89.22,foreground
test.wav,89.22,89.24,background
test.wav,89.24,89.27,foreground
test.wav,89.27,89.28,background
test.wav,89.28,89.3,foreground
test.wav,89.3,89.33,background
test.wav,89.33,89.68,foreground
test.wav,89.68,89.69,background
test.wav,89.69,89.72,foreground
test.wav,89.72,89.73,background
test.wav,89.73,89.75,foreground
test.wav,89.75,89.76,background
test.wav,89.76,89.85,foreground
test.wav,89.85,89.86,background
test.wav,89.86,89.88,foreground
test.wav,89.88,89.89,background
test.wav,89.89,89.9,foreground
test.wav,89.9,89.92,background
test.wav,89.92,89.93,foreground
test.wav,89.93,89.94,background
test.wav,89.94,89.95,foreground
test.wav,89.95,90.02,background
test.wav,90.02,90.04,foreground
test.wav,90.04,90.1,background
test.wav,90.1,90.11,foreground
test.wav,90.11,90.12,background
test.wav,90.12,90.13,foreground
test.wav,90.13,90.14,background
test.wav,90.14,90.15,foreground
test.wav,90.15,90.16,background
test.wav,90.16,90.17,foreground
test.wav,90.17,90.19,background
test.wav,90.19,90.2,foreground
test.wav,90.2,90.22,background
test.wav,90.22,90.23,foreground
test.wav,90.23,90.24,background
test.wav,90.24,90.25,foreground
test.wav,90.25,90.28,background
test.wav,90.28,90.3,foreground
test.wav,90.3,90.32,background
test.wav,90.32,90.34,foreground
test.wav,90.34,90.35,background
test.wav,90.35,90.71,foreground
test.wav,90.71,90.72,background
test.wav,90.72,90.74,foreground
test.wav,90.74,90.77,background
test.wav,90.77,90.8,foreground
test.wav,90.8,90.81,background
test.wav,90.81,90.9,foreground
test.wav,90.9,90.91,background
